segments,s1,s10,s100,s1000,smax
Canada5106,0,0.1,0.2,0.3,3.3
Canada5115,0,0.141,0.289,0.442,3.442
Canada5120,0,0.1,0.2,0.3,3.3
Canada5132,0,0.128,0.261,0.397,3.397
Canada5166,0,0.122,0.248,0.376,3.376
Canada5167,0,0.129,0.261,0.397,3.397
Canada5202,0,0.1,0.2,0.3,3.3
Canada5168,0,0.124,0.251,0.382,3.382
Canada5169,0,0.134,0.273,0.417,3.417
Canada5171,0,0.201,0.418,0.647,3.647
Canada5172,0,0.142,0.29,0.443,3.443
Canada5173,0,0.15,0.308,0.472,3.472
Canada5175,0,0.164,0.339,0.521,3.521
Canada5177,0,0.141,0.289,0.441,3.441
Canada5178,0,0.163,0.336,0.516,3.516
Canada5179,0,0.172,0.355,0.547,3.547
Canada5180,0,0.165,0.339,0.521,3.521
Canada5181,0,0.141,0.287,0.439,3.439
Canada5203,0,0.1,0.2,0.3,3.3
Canada5204,0,0.1,0.2,0.3,3.3
Canada5218,0,0.1,0.2,0.3,3.3
Canada5221,0,0.1,0.2,0.3,3.3
Canada5265,0,0.1,0.2,0.3,3.3
Canada5266,0,0.1,0.2,0.3,3.3
Canada5267,0,0.1,0.2,0.3,3.3
Canada5268,0,0.1,0.2,0.3,3.3
Canada5269,0,0.1,0.2,0.3,3.3
Canada5270,0,0.1,0.2,0.3,3.3
Canada5170,0,0.15,0.309,0.473,3.473
Canada5353,0,0.1,0.2,0.3,3.3
Canada5174,0,0.141,0.287,0.439,3.439
Canada5176,0,0.172,0.354,0.545,3.545
Canada5527,0,0.196,0.408,0.632,3.632
Canada5691,0,0.194,0.404,0.626,3.626
Canada7437,0,0.149,0.304,0.465,3.465
Denmark7037,0,0.129,0.263,0.4,3.4
Denmark7038,0,0.134,0.273,0.416,3.416
Denmark7039,0,0.119,0.24,0.363,3.363
Denmark7040,0,0.114,0.23,0.348,3.348
Denmark7041,0,0.114,0.229,0.346,3.346
Denmark7042,0,0.11,0.22,0.332,3.332
Denmark7348,0,0.126,0.255,0.388,3.388
Denmark7349,0,0.123,0.249,0.377,3.377
Denmark7350,0,0.128,0.26,0.395,3.395
Denmark7043,0,0.11,0.222,0.335,3.335
Denmark7044,0,0.11,0.221,0.333,3.333
Denmark7045,0,0.113,0.229,0.346,3.346
Denmark7046,0,0.123,0.248,0.376,3.376
Denmark7047,0,0.1,0.2,0.3,3.3
Denmark7053,0,0.1,0.2,0.3,3.3
